trip_id,schedule_relationship,route_id,latitude,longitude,current_stop_sequence,timestamp,vehicle_id,vehicle_label,color
1_4811722^+,0,146,52.45928955078125,16.917890548706055,11,1758112639,1643,146/3,#FFA500
1_4811744^+,0,185,52.4345703125,16.93825912475586,16,1758112644,1619,185/5,#FFA500
1_4811766^+,0,148,52.40964889526367,16.888029098510742,16,1758112634,1467,148/2,#FFA500
1_4811798^+,0,148,52.413368225097656,16.81743049621582,3,1758112639,1485,148/3,#FFA500
1_4811848^+,0,163,52.39065933227539,16.873830795288086,18,1758112629,1027,163/11,#FFA500
1_4811875^+,0,149,52.38195037841797,16.88188934326172,0,1758112629,1003,149/4,#FFA500
1_4811899^+,0,151,52.45111846923828,16.93613052368164,12,1758112644,1653,151/1,#FFA500
1_4811920^+,0,151,52.4650993347168,16.91621971130371,0,1758112639,1674,151/2,#FFA500
1_4811936^+,0,151,52.444950103759766,16.952320098876953,20,1758112639,1658,151/3,#FFA500
1_4811970^+,0,152,52.38924026489258,17.025190353393555,2,1758112644,1763,152/10,#FFA500
1_4812000^+,0,153,52.32123947143555,16.948780059814453,17,1758112634,1676,153/1,#FFA500
1_4812027^+,0,153,52.32691955566406,16.941640853881836,6,1758112644,1660,153/3,#FFA500
1_4812056^+,0,153,52.37211990356445,16.949169158935547,0,1758112644,1655,153/4,#FFA500
1_4812083^+,0,174,52.41273880004883,16.938840866088867,17,1758112644,1701,174/10,#FFA500
1_4812118^+,0,154,52.39377975463867,16.960020065307617,3,1758112644,1654,154/2,#FFA500
1_4812138^S,0,154,52.341129302978516,16.98794937133789,0,1758112634,1641,154/4,#FFA500
"1_4812163^A,S",0,154,52.39680099487305,16.94923973083496,0,1758112644,1628,154/6,#FFA500
1_4812187^+,0,181,52.396568298339844,16.949689865112305,0,1758112639,1773,181/1,#FFA500
1_4812216^+,0,166,52.394569396972656,16.949670791625977,3,1758112634,1631,166/8,#FFA500
1_4812245^+,0,186,52.432220458984375,16.830869674682617,15,1758112634,1452,186/2,#FFA500
1_4812304^+,0,156,52.44171142578125,16.80743980407715,0,1758112634,1470,156/5,#FFA500
1_4812322^+,0,156,52.41791915893555,16.881200790405273,1,1758112639,1450,156/8,#FFA500
1_4812346^+,0,157,52.398929595947266,16.973730087280273,14,1758112639,1601,157/1,#FFA500
1_4812387^+,0,157,52.409690856933594,16.99241065979004,0,1758112644,1602,157/2,#FFA500
1_4812406^+,0,157,52.40856170654297,16.955310821533203,2,1758112644,1770,157/3,#FFA500
1_4812424^+,0,157,52.3926887512207,17.015029907226562,11,1758112639,1618,157/6,#FFA500
1_4812452^+,0,152,52.39693069458008,16.950450897216797,1,1758112644,1612,152/3,#FFA500
1_4812478^+,0,158,52.35578155517578,16.923370361328125,3,1758112629,1917,158/2,#FFA500
